City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
upernavik,98,GL,1584227715,98,72.79,-56.15,-14.09799999999997,3.60157
port alfred,95,ZA,1584227561,87,-33.59,26.89,68.0,4.004230000000001
hilo,90,US,1584227630,78,19.73,-155.09,77.0,6.9347
puerto leguizamo,100,CO,1584227813,91,-0.19,-74.78,74.04800000000003,1.72249
bengkulu,81,ID,1584227815,88,-3.8,102.27,75.18200000000002,3.0870599999999997
juruti,86,BR,1584227819,84,-2.15,-56.09,81.05,4.004230000000001
yellowknife,75,CA,1584227633,51,62.46,-114.35,10.399999999999999,11.4087
saskylakh,97,RU,1584227824,95,71.92,114.08,2.3540000000000525,11.185
georgetown,20,MY,1584227826,83,5.41,100.34,82.4,3.3555
rikitea,0,PF,1584227828,78,-23.12,-134.97,78.26000000000008,12.12454
kapaa,1,US,1584227728,57,22.08,-159.32,78.8,11.4087
puerto ayora,20,EC,1584227618,70,-0.74,-90.35,84.2,8.0532
avarua,26,CK,1584227537,74,-21.21,-159.78,84.2,6.9347
jamestown,90,US,1584227839,80,42.1,-79.24,37.99400000000007,6.9347
ostrovnoy,97,RU,1584227716,97,68.05,39.51,2.516000000000009,11.654770000000001
machalpur,18,IN,1584227843,38,24.13,76.3,58.13600000000007,6.53204
fort nelson,20,CA,1584227845,29,58.81,-122.7,23.0,5.8162
seoul,90,KR,1584227394,51,37.57,126.98,42.8,2.237
san juan,53,AR,1584227850,22,-31.54,-68.54,71.90600000000003,12.258760000000002
fortuna,20,US,1584227660,81,40.6,-124.16,51.008,10.2902
parry sound,100,CA,1584227725,87,45.35,-80.03,30.991999999999997,8.99274
mar del plata,40,AR,1584227748,72,-38.0,-57.56,66.2,6.9347
muros,90,ES,1584227718,100,42.78,-9.06,51.998000000000026,1.1185
punta arenas,75,CL,1584227836,67,-53.15,-70.92,57.2,16.1064
yakeshi,16,CN,1584227867,89,49.28,120.73,-5.889999999999972,3.84764
busselton,80,AU,1584227869,98,-33.65,115.33,66.00200000000008,13.04171
codrington,47,AU,1584227651,71,-38.27,141.97,59.0,15.18923
ushuaia,40,AR,1584227874,62,-54.8,-68.3,53.6,6.9347
port elizabeth,95,ZA,1584227876,82,-33.92,25.57,66.2,12.750900000000001
hobart,40,AU,1584227749,67,-42.88,147.33,60.008,5.8162
butaritari,88,KI,1584227880,72,3.07,172.79,83.62400000000001,10.75997
bethel,1,US,1584227703,32,41.37,-73.41,51.8,11.4087
roald,75,NO,1584227827,65,62.58,6.13,41.0,17.2249
chokurdakh,7,RU,1584227630,91,70.63,147.92,-20.63199999999997,2.88573
saldanha,0,ZA,1584227889,88,-33.01,17.94,62.6,12.750900000000001
bluff,100,NZ,1584227891,74,-46.6,168.33,62.00600000000003,4.004230000000001
tuktoyaktuk,75,CA,1584227799,85,69.45,-133.04,23.0,29.975800000000003
acarau,99,BR,1584227898,94,-2.89,-40.12,75.50600000000003,3.15417
castro,0,BR,1584227900,67,-24.79,-50.01,64.4,2.05804
akcaabat,75,TR,1584227902,93,41.02,39.57,50.0,5.8162
mahibadhoo,4,MV,1584227906,71,3.78,72.97,83.37200000000004,6.2636
vicuna,37,CL,1584227908,77,-30.03,-70.71,66.2,12.750900000000001
aksu,3,CN,1584227911,31,41.12,80.26,36.77000000000006,2.5278099999999997
vaini,75,TO,1584227846,79,-21.2,-175.2,86.0,18.3434
shenjiamen,0,CN,1584227915,71,29.96,122.3,51.22400000000001,12.77327
tibacuy,99,CO,1584227917,49,4.35,-72.46,88.28600000000007,0.91717
scarborough,85,GB,1584227920,87,54.28,-0.4,51.8,9.1717
ponta delgada,20,PT,1584227740,82,37.73,-25.67,55.4,2.237
zhigansk,100,RU,1584227832,95,66.77,123.37,-5.385999999999967,23.86879
palmer,90,US,1584227926,48,42.16,-72.33,46.99400000000007,10.2902
saint anthony,1,US,1584227636,40,45.02,-93.22,35.99600000000005,6.9347
adrar,0,MR,1584227933,10,20.5,-10.07,69.65600000000003,7.449210000000001
esperance,40,AU,1584227935,77,-33.87,121.9,66.2,20.804100000000002
moose factory,1,CA,1584227937,61,51.26,-80.61,14.0,11.4087
rocha,76,UY,1584227846,76,-34.48,-54.33,66.95600000000003,9.50725
bathsheba,90,BB,1584227941,88,13.22,-59.52,75.2,14.987900000000002
yucca valley,1,US,1584227944,39,34.11,-116.43,71.00600000000003,19.4619
ribeira grande,58,PT,1584227946,84,38.52,-28.7,55.958000000000006,7.1584
coquimbo,13,CL,1584227850,77,-29.95,-71.34,66.2,12.750900000000001
ponta do sol,75,PT,1584227834,67,32.67,-17.1,60.8,13.8694
flin flon,90,CA,1584227812,46,54.77,-101.86,10.399999999999999,4.6977
port hedland,3,AU,1584227957,83,-20.32,118.57,77.0,8.0532
viesca,75,MX,1584227959,12,25.35,-102.8,93.2,9.1717
hermanus,63,ZA,1584227961,96,-34.42,19.23,64.99400000000007,1.99093
nigde,11,TR,1584227963,79,37.83,34.75,39.038000000000046,4.83192
atuona,21,PF,1584227745,72,-9.8,-139.03,82.04000000000002,10.89419
kahului,40,US,1584227863,74,20.89,-156.47,80.6,12.750900000000001
mount gambier,90,AU,1584227970,62,-37.83,140.77,57.2,8.0532
vredendal,11,ZA,1584227972,95,-31.67,18.5,58.38800000000005,2.6844
inyonga,97,TZ,1584227674,95,-6.72,32.07,65.82200000000003,1.47642
cape town,75,ZA,1584227585,82,-33.93,18.42,66.00200000000008,18.3434
lobito,100,AO,1584227978,81,-12.35,13.55,79.12400000000001,2.5054400000000006
hithadhoo,64,MV,1584227751,64,-0.6,73.08,82.83200000000002,3.46735
kavieng,87,PG,1584227985,69,-2.57,150.8,85.08200000000002,7.538690000000001
erdenet,78,MN,1584227987,61,49.03,104.08,16.64600000000005,4.72007
barrow,75,US,1584227989,77,71.29,-156.79,5.0,27.515100000000004
labuhan,91,ID,1584227854,88,-6.88,112.21,78.38600000000007,2.9081
avera,90,US,1584227993,40,33.19,-82.53,80.6,9.1717
morant bay,20,JM,1584227995,62,17.88,-76.41,86.0,3.3555
boyolangu,84,ID,1584227998,87,-8.12,111.89,77.19800000000002,0.17896
