City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,46,NZ,1584820089,89,-46.19,168.86,53.00600000000003,14.00362
padang,46,ID,1584820091,94,-0.95,100.35,68.27000000000007,4.76481
salalah,40,OM,1584820073,88,17.02,54.09,78.8,9.1717
souillac,40,MU,1584820095,65,-20.52,57.52,78.8,10.2902
kashi,100,CN,1584820097,17,39.45,75.98,57.2,6.711
waingapu,63,ID,1584820100,75,-9.66,120.26,83.858,10.692860000000001
buchanan,75,LR,1584820102,88,5.88,-10.05,77.0,8.0532
saskylakh,95,RU,1584820104,70,71.92,114.08,-5.7099999999999795,14.04836
imeni poliny osipenko,100,RU,1584820106,79,52.42,136.49,13.658000000000005,1.96856
pangai,75,TO,1584820108,82,-19.8,-174.35,79.25,6.2636
ushuaia,75,AR,1584820110,75,-54.8,-68.3,46.4,8.0532
tiksi,37,RU,1584820112,88,71.69,128.87,-13.989999999999966,9.52962
punta arenas,75,CL,1584819850,71,-53.15,-70.92,53.6,23.041100000000004
micoud,20,LC,1584820117,70,13.82,-60.9,84.2,20.804100000000002
castro,1,BR,1584820106,89,-24.79,-50.01,68.01800000000009,1.70012
vaini,75,TO,1584820121,83,-21.2,-175.2,78.8,10.2902
geraldton,0,AU,1584820123,64,-28.77,114.6,73.4,3.3555
new norfolk,75,AU,1584820125,93,-42.78,147.06,51.8,3.3555
clyde river,75,CA,1584820127,77,70.47,-68.59,-0.39999999999994884,4.45163
hilo,90,US,1584820129,78,19.73,-155.09,73.4,10.2902
busselton,0,AU,1584820067,50,-33.65,115.33,62.99600000000005,14.92079
sabha,0,LY,1584820133,33,27.04,14.43,70.97000000000006,6.08464
severo-kurilsk,100,RU,1584820136,95,50.68,156.12,26.078000000000067,28.00724
rikitea,0,PF,1584820138,77,-23.12,-134.97,78.89000000000001,8.43349
lorengau,87,PG,1584820140,69,-2.02,147.27,84.11000000000008,5.41354
albany,1,US,1584820142,34,42.6,-73.97,46.004000000000055,14.987900000000002
zhezkazgan,0,KZ,1584820144,87,47.8,67.71,27.338000000000044,13.936510000000002
ribeira grande,20,PT,1584820079,54,38.52,-28.7,57.2,11.4087
mar del plata,0,AR,1584819943,42,-38.0,-57.56,82.99400000000007,13.8694
ankazoabo,0,MG,1584820153,95,-22.28,44.52,67.55,1.90145
lebu,100,CL,1584820155,62,-37.62,-73.65,60.71000000000008,8.63482
chokurdakh,0,RU,1584820157,93,70.63,147.92,-11.721999999999937,5.70435
san ramon,90,US,1584820051,71,37.78,-121.98,62.99600000000005,9.1717
taybad,72,IR,1584820161,72,34.74,60.78,54.69800000000002,22.23578
port hedland,68,AU,1584820163,89,-20.32,118.57,84.2,6.9347
acapulco,5,MX,1584820165,70,16.86,-99.89,86.0,10.2902
jinka,100,ET,1584820167,79,5.65,36.65,70.71800000000009,8.187420000000001
sioux lookout,20,CA,1584819934,25,50.1,-91.92,26.6,6.9347
ola,100,RU,1584820174,90,59.58,151.28,14.918000000000085,10.111239999999999
kruisfontein,0,ZA,1584820176,92,-34.0,24.73,60.09800000000003,2.57255
taoudenni,0,ML,1584820178,17,22.68,-3.98,74.49800000000002,8.81378
alakurtti,0,RU,1584820182,81,66.97,30.35,17.798000000000023,7.65054
kapaa,90,US,1584820184,88,22.08,-159.32,78.99800000000002,4.6977
san patricio,75,MX,1584820186,74,19.22,-104.7,86.0,11.4087
zlobin,87,HR,1584820188,63,45.29,14.65,53.99600000000005,5.010880000000001
bowen,43,AU,1584820193,88,-20.02,148.23,75.99199999999999,6.9347
isiolo,100,KE,1584820195,73,0.35,37.58,71.61800000000008,5.88331
yuli,5,NG,1584820197,15,9.7,10.27,88.17800000000007,2.6844
faanui,87,PF,1584820199,73,-16.48,-151.75,83.67800000000007,10.35731
hermanus,0,ZA,1584820201,83,-34.42,19.23,66.00200000000008,14.29443
marondera,49,ZW,1584820112,82,-18.19,31.55,66.2,4.6977
tura,67,IN,1584820206,34,25.52,90.22,73.058,5.3688
dikson,31,RU,1584820208,99,73.51,80.55,-15.501999999999974,9.50725
nikolskoye,51,RU,1584820210,68,59.7,30.79,28.994000000000074,6.711
tuktoyaktuk,75,CA,1584820212,92,69.45,-133.04,19.4,12.750900000000001
namatanai,82,PG,1584820214,73,-3.67,152.43,83.67800000000007,5.61487
huescar,18,ES,1584820216,97,37.81,-2.54,46.004000000000055,1.00665
opuwo,0,NA,1584820218,64,-18.06,13.84,72.69800000000002,2.28174
edenderry,90,IE,1584820220,75,53.35,-7.05,46.004000000000055,9.1717
provideniya,1,RU,1584820225,80,64.38,-173.3,4.118000000000087,4.2503
pechenga,58,RU,1584820227,79,69.53,31.17,26.6,42.503
bilibino,86,RU,1584820229,73,68.05,166.44,-9.201999999999977,2.99758
kavaratti,89,IN,1584820233,66,10.57,72.64,82.77800000000006,8.03083
saint george,25,US,1584820175,46,37.1,-113.58,59.0,3.3555
ponta do sol,20,PT,1584820237,48,32.67,-17.1,60.8,13.8694
kaeo,6,NZ,1584820239,90,-35.1,173.78,64.00400000000005,2.99758
iskateley,62,RU,1584820241,89,67.68,53.15,11.498000000000026,9.93228
carnarvon,75,AU,1584820244,83,-24.87,113.63,78.8,10.2902
norman wells,40,CA,1584820246,55,65.28,-126.83,35.6,16.1064
kamenka,100,RU,1584820248,76,51.32,42.77,35.00600000000003,1.99093
airai,75,TL,1584820250,91,-8.93,125.41,65.31800000000008,3.66868
luau,100,AO,1584820252,91,-10.71,22.22,67.11800000000008,3.10943
san jeronimo,100,PE,1584820082,76,-11.95,-75.28,49.838000000000044,5.92805
black diamond,90,US,1584820256,81,47.31,-122.0,51.998000000000026,4.20556
